# f, Suu, Svv, Sww
5.427796029138694245e-02 4.343254994528911866e-02 1.729064807152670691e-02 1.494482482871187234e-02
5.456363376660477299e-02 2.936967159157517077e-02 2.163938318825419857e-02 1.453019970634855662e-02
5.484930724182259659e-02 2.572403630725837720e-02 2.082689956587341351e-02 1.480266472003582967e-02
5.513498071704042020e-02 2.749776043641809220e-02 1.437709979439465852e-02 9.897786455664858707e-03
5.542065419225825074e-02 2.196521132422076666e-02 1.199865618228244946e-02 2.260539531106732850e-02
5.570632766747607434e-02 3.898403294484634879e-02 1.945524928302139189e-02 1.358950851967899789e-02
5.599200114269389794e-02 3.791067556293228891e-02 1.603685173369648678e-02 1.569313137184410317e-02
5.627767461791172848e-02 4.153116272248471436e-02 2.717820368537031753e-02 9.803093368435416427e-03
5.656334809312955209e-02 2.272177884525233491e-02 8.627461569192185903e-03 1.183332133293588974e-02
5.684902156834737569e-02 1.763027275520254872e-02 6.973769268065862365e-03 7.329128378354883740e-03
5.713469504356520623e-02 1.566048537702240812e-02 1.318225595345233654e-02 1.716053589697514106e-02
5.742036851878302983e-02 2.370914454649969069e-02 9.836904774103866558e-03 1.786512197809415198e-02
5.770604199400086037e-02 3.928813031964481506e-02 1.838596333000395294e-02 2.493674848135445099e-02
5.799171546921868398e-02 2.769657349890801770e-02 1.831898717262514520e-02 2.727237038719289644e-02
5.827738894443650758e-02 1.996825645805259952e-02 1.890701556403779141e-02 1.202695480848879270e-02
5.856306241965433812e-02 3.517778775265905516e-02 4.290839598973165275e-02 5.276460580806655726e-02
5.884873589487216172e-02 2.032841983036427422e-02 2.092070510581628753e-02 1.364950295417155166e-02
5.913440937008998532e-02 4.816683363447048921e-02 4.090455238931150345e-02 2.139456645907433785e-02
5.942008284530781587e-02 1.632892347338311956e-02 2.920573317551734133e-02 1.505718976659702231e-02
5.970575632052563947e-02 2.737366877385545572e-02 2.076712159126804791e-02 2.575432103644906962e-02
5.999142979574346307e-02 3.332193571081292632e-02 4.628542864612818220e-02 2.403025030008075144e-02
6.027710327096129361e-02 3.375128517357225966e-02 5.820921633538263945e-02 2.362044487932586645e-02
6.056277674617911722e-02 2.840379530693339094e-02 3.386603507060076401e-02 1.733319133992478056e-02
6.084845022139694082e-02 3.488785363589995414e-02 4.414616862902863426e-02 3.313123564608890653e-02
6.113412369661477136e-02 5.767616696818197303e-02 1.239132074155073759e-01 7.261069369079413416e-02
6.141979717183259496e-02 3.395078104764944621e-02 3.290313102590106814e-02 1.235878302326852245e-02
6.170547064705041856e-02 3.413352430487998773e-02 3.292559587432490609e-02 1.845217944009606634e-02
6.199114412226824911e-02 4.597527393039444604e-02 6.994032037564827664e-02 1.781033011722062132e-02
6.227681759748607271e-02 4.714226131669480707e-02 5.080776196286888174e-02 1.543777578655679793e-02
6.256249107270389631e-02 2.695861398102310930e-02 5.874953694283749361e-02 3.774577371688117577e-02
6.284816454792171991e-02 2.450347861186259052e-02 5.703366413486304215e-02 3.978491467864334052e-02
6.313383802313955739e-02 3.496943438886259553e-02 1.207106821698685356e-01 3.989450816784836928e-02
6.341951149835738100e-02 3.017384089961155924e-02 1.071468260430503139e-01 2.146903135290903833e-02
6.370518497357520460e-02 1.453829721360504895e-02 8.614296210909427876e-02 1.906590784232219463e-02
6.399085844879302820e-02 2.456406374163343231e-02 9.279468181637816337e-02 3.272293971474124485e-02
6.427653192401085180e-02 3.926777212968157738e-02 1.521792086247848452e-01 3.918954278505917127e-02
6.456220539922867541e-02 5.527104143970536926e-02 1.135984150585973573e-01 1.816472068333387438e-02
6.484787887444651289e-02 5.129011163141116575e-02 9.334839855345948567e-02 1.606002264493551490e-02
6.513355234966433649e-02 3.075812582544654519e-02 9.747993470758022083e-02 2.501644090636451559e-02
6.541922582488216009e-02 2.464198414257018355e-02 4.106178887032093522e-02 1.685804866157334866e-02
6.570489930009998369e-02 3.342663285803811057e-02 9.664711654467209034e-02 1.658717407793074139e-02
6.599057277531780730e-02 3.565818692890396213e-02 1.283465725709762029e-01 2.383377636329504085e-02
6.627624625053563090e-02 2.231397485267899022e-02 8.693054230910379765e-02 1.087558386077917480e-02
6.656191972575346838e-02 2.310372217569410525e-02 1.307920210038358844e-01 1.590092524628960308e-02
