# z, uT, vT, wT

# time = 0.0-1.0 hrs
4.650000000000000000e+02 9.318850780275149772e-06 2.713601087306440060e-05 9.512060621765160953e-08
4.750000000000000000e+02 5.763536844316156945e-06 2.145733452368327472e-05 -3.579700440325384756e-07
4.900000000000000000e+02 4.474486902544329867e-06 2.504536413890319556e-05 -7.806138934041437582e-07
5.100000000000000000e+02 3.868553879946049184e-06 1.532861015756332220e-05 7.435840062402409555e-07
5.300000000000000000e+02 1.611149070768075539e-06 1.019018309727249247e-05 -2.442151001391668371e-07
5.500000000000000000e+02 1.344177894626207905e-06 4.604414179039225454e-06 -2.303351928188216803e-07
5.700000000000000000e+02 1.098966229127872520e-06 1.439007083281592794e-06 -8.932787019199972010e-08
5.900000000000000000e+02 7.429592875084683044e-07 1.081533864076188243e-06 -2.216756132902843369e-07
6.100000000000000000e+02 6.735505230688540220e-07 7.670766455533720406e-07 -1.252740744979842663e-07
6.300000000000000000e+02 5.802000300801411458e-07 7.987390470030469378e-07 -1.175781753302966020e-07
6.500000000000000000e+02 7.279061084888196182e-07 4.411429193717598412e-07 -7.268829502460991382e-08
6.700000000000000000e+02 6.983851949240992131e-07 -3.110763298925816160e-08 -3.676977348316744029e-08
6.900000000000000000e+02 6.580618757882458728e-07 5.623807143954886496e-08 -3.585215648671180762e-08
7.100000000000000000e+02 6.292962208418395795e-07 5.473673895970093373e-08 -2.452165071074780814e-08
7.300000000000000000e+02 5.798875966263986004e-07 3.682672340440956484e-08 -2.578892133746015442e-08
7.500000000000000000e+02 6.672156423968445002e-07 -1.336633136010659028e-07 -1.714542119995175975e-08
7.700000000000000000e+02 7.007745844215220814e-07 -2.951557047249553670e-07 -1.406218122381978274e-08
7.900000000000000000e+02 5.775951159064041849e-07 -3.459060694465486621e-07 -1.385028300526294739e-08
8.200000000000000000e+02 5.169090851393669934e-07 -1.475793075829498882e-07 -7.258302331555765067e-08
8.600000000000000000e+02 3.026503955221786368e-07 -5.994998673070409553e-08 -7.484188742988500314e-09
9.000000000000000000e+02 1.611658236272851468e-07 -1.071314381652671549e-08 -1.577342768893070945e-08
