# z, uT, vT, wT

# time = 0.0-1.0 hrs
5.500000000000000000e+01 1.339878740173525845e-03 1.836680100565757021e-02 1.232570056118696515e-02
6.500000000000000000e+01 1.343744510757962198e-03 1.722821209079455212e-02 1.218149465759388664e-02
7.500000000000000000e+01 1.279823538773016247e-03 1.605628749078565412e-02 1.171221918849403229e-02
8.500000000000000000e+01 1.197038042997213740e-03 1.482295346236011356e-02 1.118858933258647624e-02
9.500000000000000000e+01 1.127577687526942546e-03 1.370285313678912438e-02 1.064685187207601094e-02
1.050000000000000000e+02 1.099050685221698897e-03 1.273685677073595722e-02 1.024697821166957283e-02
1.150000000000000000e+02 1.069393056343953237e-03 1.183471298961705914e-02 9.735468525202680551e-03
1.250000000000000000e+02 1.010563233830501749e-03 1.095666466282770729e-02 9.153316132682460388e-03
1.350000000000000000e+02 9.604004927638797560e-04 1.017044925437858918e-02 8.604445696097506521e-03
1.450000000000000000e+02 9.424429760269796563e-04 9.503890331992618373e-03 8.165926674934181895e-03
1.550000000000000000e+02 9.206630819314345687e-04 8.865427659173023833e-03 7.671197541235810768e-03
1.650000000000000000e+02 8.805734744311937128e-04 8.224279604645513483e-03 7.121778287435050203e-03
1.750000000000000000e+02 8.423695056527467093e-04 7.662523736946134402e-03 6.625179440216295845e-03
1.850000000000000000e+02 8.123507621667867004e-04 7.181334377823763750e-03 6.200279989088302093e-03
1.950000000000000000e+02 7.902049692742311613e-04 6.726361646941988841e-03 5.786851829977563214e-03
2.050000000000000000e+02 7.864880931234219602e-04 6.297812067274961498e-03 5.369980908717312228e-03
2.150000000000000000e+02 7.988404329863980262e-04 5.898781626757790275e-03 4.999956231019691937e-03
2.250000000000000000e+02 8.082170002566736603e-04 5.560808621500878089e-03 4.691306570328199720e-03
2.350000000000000000e+02 7.788226997652433412e-04 5.113769715669210306e-03 4.204037904938228397e-03
2.450000000000000000e+02 6.943022067278895211e-04 4.447884603882570724e-03 3.501901249543299191e-03
2.550000000000000000e+02 5.901251709278905943e-04 3.813338862590184061e-03 2.952195646209674219e-03
2.650000000000000000e+02 4.957708764325650637e-04 3.392359140513463451e-03 2.636102233313232859e-03
2.750000000000000000e+02 3.357848977726673469e-04 2.910480675861068511e-03 2.090300003903610305e-03
2.850000000000000000e+02 4.362831817524894797e-05 2.124705990463987906e-03 1.229653357399916776e-03
2.950000000000000000e+02 -3.689705258654541950e-04 1.184109307777816717e-03 2.953565815824191415e-04
3.050000000000000000e+02 -9.395187465487152886e-04 6.752778175094976032e-05 -6.902907793595768537e-04
3.150000000000000000e+02 -1.584991043467422808e-03 -1.039696359441767042e-03 -1.263839895741703792e-03
3.250000000000000000e+02 -2.323984629987643942e-03 -2.013070469931473126e-03 -1.435294480450708668e-03
3.350000000000000000e+02 -3.256410799590291061e-03 -2.936808242841191120e-03 -1.487120567641899826e-03
3.450000000000000000e+02 -4.448944332495394748e-03 -4.042897403756478929e-03 -2.350090349562717305e-03
3.550000000000000000e+02 -6.375333925233685195e-03 -6.055224830283084149e-03 -4.141344959640860628e-03
